secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
3,2012/6/10,9:48:37,503.00,9489.29,26.18,27.20,100944,24.17,0,0,1,1,1,28,-19,231,0.11,-0.07,0.90,152.00,119.00,812.00,38.06
5,2012/6/10,9:48:39,502.00,9452.25,26.27,27.20,101025,18.73,0,0,0,0,0,16,-21,266,0.06,-0.08,1.04,188.00,131.00,905.00,34.87
7,2012/6/10,9:48:41,501.00,9415.34,26.36,27.30,101041,17.64,0,0,1,0,1,14,-19,203,0.05,-0.07,0.79,184.00,160.00,928.00,41.01
9,2012/6/10,9:48:43,501.00,9415.34,26.36,27.30,101031,17.48,0,0,1,0,1,4,-22,237,0.02,-0.09,0.92,146.00,165.00,940.00,48.50
11,2012/6/10,9:48:45,500.00,9378.58,26.45,27.30,101021,18.56,0,1,0,0,0,38,-12,250,0.15,-0.05,0.97,139.00,163.00,944.00,49.54
13,2012/6/10,9:48:47,500.00,9378.58,26.45,27.30,101049,16.05,0,0,1,0,0,-9,-7,232,-0.04,-0.03,0.90,-63.00,126.00,824.00,116.57
15,2012/6/10,9:48:49,499.00,9341.97,26.54,27.30,101033,18.31,0,0,0,0,0,4,-22,235,0.02,-0.09,0.92,223.00,-165.00,940.00,323.50
17,2012/6/10,9:48:51,499.00,9341.97,26.54,27.30,101083,13.71,0,0,0,0,0,9,-11,250,0.04,-0.04,0.97,207.00,-167.00,936.00,321.10
19,2012/6/10,9:48:53,499.00,9341.97,26.54,27.30,101090,11.78,0,0,0,0,0,8,-16,249,0.03,-0.06,0.97,146.00,-180.00,918.00,309.05
21,2012/6/10,9:48:55,498.00,9305.49,26.63,27.30,101112,12.29,0,1,0,0,0,1,-17,237,0.00,-0.07,0.92,90.00,-166.00,875.00,298.47
23,2012/6/10,9:48:57,498.00,9305.49,26.63,27.30,101132,10.20,0,0,0,0,0,4,-15,236,0.02,-0.06,0.92,138.00,-191.00,879.00,305.85
25,2012/6/10,9:48:59,497.00,9269.14,26.72,27.30,101172,5.76,0,0,0,0,0,74,-42,238,0.29,-0.16,0.93,66.00,-141.00,889.00,295.08
27,2012/6/10,9:49:01,497.00,9269.14,26.72,27.30,101153,7.69,0,0,0,0,0,113,-62,196,0.44,-0.24,0.76,25.00,-122.00,925.00,281.58
29,2012/6/10,9:49:03,496.00,9232.94,26.81,27.30,101185,3.76,0,0,0,0,0,147,-14,202,0.57,-0.05,0.79,52.00,-145.00,917.00,289.73
31,2012/6/10,9:49:05,496.00,9232.94,26.81,27.30,101171,6.35,0,1,0,0,0,128,-41,209,0.50,-0.16,0.82,56.00,-150.00,912.00,290.47
33,2012/6/10,9:49:07,496.00,9232.94,26.81,27.30,101200,4.26,0,0,0,0,0,85,-44,222,0.33,-0.17,0.87,94.00,-164.00,875.00,299.82
35,2012/6/10,9:49:09,495.00,9196.88,26.90,27.30,101211,3.00,0,0,0,0,0,59,-6,223,0.23,-0.02,0.87,88.00,-158.00,874.00,299.12
37,2012/6/10,9:49:11,495.00,9196.88,26.90,27.30,101198,3.59,0,0,0,0,0,49,-6,243,0.19,-0.02,0.95,89.00,-157.00,872.00,299.55
39,2012/6/10,9:49:13,495.00,9196.88,26.90,27.30,101252,-0.41,0,0,0,0,0,28,-30,226,0.11,-0.12,0.88,106.00,-138.00,863.00,307.53
41,2012/6/10,9:49:15,494.00,9160.95,26.99,27.30,101245,-0.33,0,0,0,0,0,-57,-9,195,-0.22,-0.04,0.76,183.00,-187.00,730.00,314.38
43,2012/6/10,9:49:17,492.00,9089.49,27.16,27.30,101252,-1.08,0,1,0,0,1,0,-11,230,0.00,-0.04,0.90,46.00,-49.00,814.00,313.19
45,2012/6/10,9:49:19,490.00,9018.57,27.34,27.30,101277,-2.42,0,0,0,0,0,-18,-29,229,-0.07,-0.11,0.89,16.00,-16.00,817.00,315.00
47,2012/6/10,9:49:21,489.00,8983.31,27.43,27.30,101267,-2.00,0,0,1,0,0,-46,1,211,-0.18,0.00,0.82,10.00,-1.00,806.00,354.29
49,2012/6/10,9:49:23,485.00,8843.59,27.79,27.30,101266,-2.25,0,0,0,0,1,-64,-49,269,-0.25,-0.19,1.05,9.00,79.00,796.00,83.50
51,2012/6/10,9:49:25,481.00,8705.92,28.15,27.30,101272,-3.09,0,0,1,0,1,-27,127,310,-0.11,0.50,1.21,46.00,-84.00,822.00,298.71
53,2012/6/10,9:49:27,482.00,8740.15,28.06,27.30,101274,-3.01,0,0,0,0,0,-2,125,226,-0.01,0.49,0.88,75.00,-132.00,873.00,299.60
55,2012/6/10,9:49:29,483.00,8774.50,27.97,27.30,101278,-3.01,0,0,0,0,0,-31,92,232,-0.12,0.36,0.90,78.00,-140.00,879.00,299.12
57,2012/6/10,9:49:31,485.00,8843.59,27.79,27.30,101258,-1.50,0,1,0,0,0,-18,164,221,-0.07,0.64,0.86,70.00,-150.00,931.00,295.02
59,2012/6/10,9:49:33,486.00,8878.32,27.70,27.30,101226,1.08,0,0,0,0,0,16,-38,249,0.06,-0.15,0.97,-38.00,-18.00,829.00,205.35
61,2012/6/10,9:49:35,487.00,8913.19,27.61,27.30,101203,2.17,0,0,0,0,0,-22,-69,224,-0.09,-0.27,0.87,-20.00,-26.00,793.00,232.43
63,2012/6/10,9:49:37,487.00,8913.19,27.61,27.30,101191,3.84,0,0,0,0,0,0,-67,221,0.00,-0.26,0.86,9.00,-39.00,782.00,282.99
65,2012/6/10,9:49:39,487.00,8913.19,27.61,27.40,101180,5.35,0,0,0,0,0,31,-73,236,0.12,-0.28,0.92,26.00,-58.00,783.00,294.15
67,2012/6/10,9:49:41,486.00,8878.32,27.70,27.40,101179,5.35,0,1,0,0,0,27,-64,202,0.11,-0.25,0.79,18.00,-59.00,790.00,286.97
69,2012/6/10,9:49:43,485.00,8843.59,27.79,27.30,101138,8.52,0,0,0,0,0,37,50,269,0.14,0.19,1.05,79.00,-145.00,811.00,298.58
71,2012/6/10,9:49:45,484.00,8808.98,27.88,27.40,101159,7.35,0,0,0,0,0,30,71,266,0.12,0.28,1.04,86.00,-151.00,844.00,299.66
73,2012/6/10,9:49:47,482.00,8740.15,28.06,27.40,101112,10.70,0,0,0,0,0,14,44,235,0.05,0.17,0.92,90.00,-142.00,840.00,302.37
75,2012/6/10,9:49:49,480.00,8671.82,28.24,27.40,101130,10.61,0,0,0,0,0,40,88,249,0.16,0.34,0.97,77.00,-139.00,840.00,298.98
77,2012/6/10,9:49:51,478.00,8604.00,28.42,27.40,101083,13.12,0,0,0,0,0,30,48,193,0.12,0.19,0.75,73.00,-135.00,836.00,298.40
79,2012/6/10,9:49:53,477.00,8570.28,28.51,27.50,101079,13.79,0,1,0,0,0,66,70,277,0.26,0.27,1.08,49.00,-133.00,841.00,290.22
81,2012/6/10,9:49:55,476.00,8536.67,28.60,27.50,101044,16.47,0,0,0,0,0,32,65,246,0.12,0.25,0.96,58.00,-132.00,841.00,293.72
83,2012/6/10,9:49:57,474.00,8469.84,28.78,27.50,101039,17.31,0,0,0,0,0,49,67,224,0.19,0.26,0.87,61.00,-140.00,856.00,293.54
85,2012/6/10,9:49:59,473.00,8436.60,28.88,27.50,101006,18.98,0,0,0,0,0,27,43,231,0.11,0.17,0.90,67.00,-115.00,848.00,300.23
87,2012/6/10,9:50:01,472.00,8403.48,28.97,27.50,101010,18.81,0,0,0,0,0,31,58,239,0.12,0.23,0.93,52.00,-132.00,826.00,291.50
89,2012/6/10,9:50:03,471.00,8370.49,29.06,27.50,101005,19.32,0,1,0,0,0,45,44,229,0.18,0.17,0.89,56.00,-140.00,840.00,291.80
91,2012/6/10,9:50:05,470.00,8337.61,29.15,27.50,100962,23.17,0,0,0,0,0,10,2,249,0.04,0.01,0.97,108.00,-169.00,733.00,302.58
93,2012/6/10,9:50:07,470.00,8337.61,29.15,27.60,100938,25.18,0,0,0,0,0,11,4,225,0.04,0.02,0.88,351.00,-192.00,699.00,331.32
95,2012/6/10,9:50:09,470.00,8337.61,29.15,27.60,100927,26.52,0,0,0,0,0,144,-18,225,0.56,-0.07,0.88,204.00,-168.00,650.00,320.53
97,2012/6/10,9:50:11,469.00,8304.86,29.24,27.60,100912,28.11,0,0,0,0,0,118,-48,205,0.46,-0.19,0.80,206.00,-139.00,656.00,325.99
99,2012/6/10,9:50:13,468.00,8272.22,29.33,27.60,100899,28.19,0,1,0,0,0,125,-40,236,0.49,-0.16,0.92,200.00,-142.00,649.00,324.63
101,2012/6/10,9:50:15,467.00,8239.69,29.42,27.60,100884,30.37,0,0,0,0,0,99,-58,229,0.39,-0.23,0.89,269.00,-154.00,672.00,330.21
103,2012/6/10,9:50:17,467.00,8239.69,29.42,27.60,100857,32.38,0,0,0,0,0,-55,-69,242,-0.21,-0.27,0.94,194.00,-127.00,728.00,326.79
105,2012/6/10,9:50:19,468.00,8272.22,29.33,27.60,100845,33.14,0,0,0,0,0,-58,-66,225,-0.23,-0.26,0.88,217.00,-136.00,732.00,327.92
107,2012/6/10,9:50:21,469.00,8304.86,29.24,27.60,100843,34.23,0,0,0,0,0,-9,-75,222,-0.04,-0.29,0.87,190.00,-145.00,719.00,322.65
109,2012/6/10,9:50:23,470.00,8337.61,29.15,27.60,100820,34.98,0,0,0,0,0,82,-62,219,0.32,-0.24,0.85,104.00,-116.00,747.00,311.88
111,2012/6/10,9:50:25,471.00,8370.49,29.06,27.70,100811,36.41,0,1,0,0,0,69,-62,221,0.27,-0.24,0.86,116.00,-123.00,756.00,313.32
