secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
4,2012/6/10,14:00:55,646.00,16809.71,13.75,42.50,72576,30.82,0,1,0,0,0,0,-29,237,0.00,-0.11,0.92,-146.00,-369.00,654.00,248.41
6,2012/6/10,14:00:57,644.00,16669.24,13.93,42.50,72545,34.55,0,0,0,0,0,0,-28,237,0.00,-0.11,0.92,-145.00,-347.00,660.00,247.32
8,2012/6/10,14:00:59,642.00,16530.24,14.10,42.50,72514,38.05,0,0,0,0,0,-1,-27,234,-0.00,-0.11,0.91,-140.00,-330.00,664.00,247.01
10,2012/6/10,14:01:01,641.00,16461.28,14.19,42.50,72472,42.59,0,0,0,0,0,-1,-27,235,-0.00,-0.11,0.92,-136.00,-330.00,663.00,247.60
12,2012/6/10,14:01:03,639.00,16324.45,14.36,42.50,72435,47.02,0,0,0,0,0,0,-28,235,0.00,-0.11,0.92,-133.00,-327.00,663.00,247.87
14,2012/6/10,14:01:05,637.00,16189.04,14.54,42.50,72394,51.23,0,1,0,0,0,0,-28,237,0.00,-0.11,0.92,-133.00,-332.00,661.00,248.17
16,2012/6/10,14:01:07,636.00,16121.86,14.63,42.50,72358,56.25,0,0,0,0,0,-1,-28,238,-0.00,-0.11,0.93,-130.00,-326.00,662.00,248.26
18,2012/6/10,14:01:09,635.00,16055.02,14.71,42.50,72304,61.97,0,0,0,0,0,-1,-29,239,-0.00,-0.11,0.93,-133.00,-331.00,661.00,248.11
20,2012/6/10,14:01:11,636.00,16121.86,14.63,42.40,72246,68.98,0,0,0,0,0,-1,-27,237,-0.00,-0.11,0.92,-124.00,-325.00,661.00,249.12
22,2012/6/10,14:01:13,637.00,16189.04,14.54,42.40,72190,76.58,0,0,0,0,0,-1,-27,234,-0.00,-0.11,0.91,-128.00,-330.00,660.00,248.80
24,2012/6/10,14:01:15,638.00,16256.57,14.45,42.40,72123,82.20,0,0,0,0,0,0,-26,234,0.00,-0.10,0.91,-111.00,-318.00,662.00,250.76
26,2012/6/10,14:01:17,640.00,16392.69,14.28,42.40,72064,88.88,0,1,0,0,0,0,-25,226,0.00,-0.10,0.88,-113.00,-319.00,661.00,250.49
28,2012/6/10,14:01:19,642.00,16530.24,14.10,42.40,72013,95.56,0,0,0,0,0,0,-27,231,0.00,-0.11,0.90,-83.00,-305.00,664.00,254.78
30,2012/6/10,14:01:21,644.00,16669.24,13.93,42.40,71966,101.54,0,0,0,0,0,0,-26,227,0.00,-0.10,0.89,-64.00,-304.00,664.00,258.11
32,2012/6/10,14:01:23,646.00,16809.71,13.75,42.30,71931,105.88,0,0,0,0,0,1,-26,226,0.00,-0.10,0.88,2.00,-343.00,655.00,270.33
34,2012/6/10,14:01:25,643.00,16599.55,14.02,42.30,71899,108.58,0,0,0,0,0,-1,-28,237,-0.00,-0.11,0.92,4.00,-406.00,636.00,270.56
36,2012/6/10,14:01:27,641.00,16461.28,14.19,42.30,71869,112.57,0,1,0,0,0,-1,-28,240,-0.00,-0.11,0.94,-60.00,-464.00,635.00,262.63
38,2012/6/10,14:01:29,643.00,16599.55,14.02,42.30,71831,117.03,0,0,0,0,0,-1,-27,236,-0.00,-0.11,0.92,-134.00,-405.00,647.00,251.69
40,2012/6/10,14:01:31,645.00,16739.29,13.84,42.30,71792,122.55,0,0,0,0,0,-1,-27,232,-0.00,-0.11,0.90,-111.00,-312.00,665.00,250.42
42,2012/6/10,14:01:33,644.00,16669.24,13.93,42.30,71751,126.20,0,0,0,0,0,0,-28,228,0.00,-0.11,0.89,-25.00,-337.00,650.00,265.76
44,2012/6/10,14:01:35,643.00,16599.55,14.02,42.30,71717,130.90,0,0,0,0,0,0,-28,234,0.00,-0.11,0.91,2.00,-437.00,635.00,270.26
46,2012/6/10,14:01:37,644.00,16669.24,13.93,42.30,71685,135.02,0,0,0,0,0,-1,-28,239,-0.00,-0.11,0.93,-90.00,-452.00,637.00,258.74
48,2012/6/10,14:01:39,646.00,16809.71,13.75,42.30,71646,139.72,0,1,0,0,0,-2,-27,238,-0.01,-0.11,0.93,-156.00,-371.00,660.00,247.19
50,2012/6/10,14:01:41,646.00,16809.71,13.75,42.20,71601,144.08,0,0,0,0,0,0,-27,228,0.00,-0.11,0.89,-111.00,-321.00,661.00,250.92
52,2012/6/10,14:01:43,645.00,16739.29,13.84,42.20,71565,148.44,0,0,0,0,0,0,-28,232,0.00,-0.11,0.90,-48.00,-306.00,665.00,261.09
54,2012/6/10,14:01:45,642.00,16530.24,14.10,42.20,71544,151.62,0,0,0,0,0,0,-27,237,0.00,-0.11,0.92,-9.00,-352.00,648.00,268.54
56,2012/6/10,14:01:47,639.00,16324.45,14.36,42.20,71507,155.51,0,0,0,0,0,-1,-28,237,-0.00,-0.11,0.92,13.00,-377.00,646.00,271.97
58,2012/6/10,14:01:49,635.00,16055.02,14.71,42.20,71470,159.87,0,1,0,0,0,0,-27,233,0.00,-0.11,0.91,3.00,-389.00,640.00,270.44
60,2012/6/10,14:01:51,634.00,15988.54,14.80,42.10,71437,164.00,0,0,0,0,0,0,-28,232,0.00,-0.11,0.90,7.00,-361.00,650.00,271.11
62,2012/6/10,14:01:53,635.00,16055.02,14.71,42.10,71399,168.01,0,0,0,0,0,-1,-27,235,-0.00,-0.11,0.92,-30.00,-330.00,654.00,264.81
64,2012/6/10,14:01:55,635.00,16055.02,14.71,42.10,71380,170.97,0,0,0,0,0,-1,-28,236,-0.00,-0.11,0.92,-94.00,-302.00,668.00,252.71
66,2012/6/10,14:01:57,634.00,15988.54,14.80,42.10,71342,175.69,0,0,0,0,0,-1,-27,233,-0.00,-0.11,0.91,-137.00,-342.00,660.00,248.17
68,2012/6/10,14:01:59,634.00,15988.54,14.80,42.10,71302,179.35,0,0,0,0,0,0,-27,233,0.00,-0.11,0.91,-150.00,-386.00,656.00,248.76
70,2012/6/10,14:02:01,638.00,16256.57,14.45,42.10,71269,183.01,0,1,0,0,0,0,-28,238,0.00,-0.11,0.93,-127.00,-423.00,644.00,253.29
72,2012/6/10,14:02:03,644.00,16669.24,13.93,42.10,71232,187.86,0,0,0,0,0,0,-29,239,0.00,-0.11,0.93,-115.00,-443.00,643.00,255.45
74,2012/6/10,14:02:05,649.00,17023.24,13.49,42.10,71198,192.12,0,0,0,0,0,-1,-28,237,-0.00,-0.11,0.92,-97.00,-445.00,638.00,257.70
76,2012/6/10,14:02:07,653.00,17313.33,13.14,42.00,71144,198.40,0,0,0,0,0,0,-29,237,0.00,-0.11,0.92,-106.00,-445.00,641.00,256.60
78,2012/6/10,14:02:09,657.00,17609.75,12.79,42.00,71091,204.55,0,0,0,0,0,-1,-28,238,-0.00,-0.11,0.93,-111.00,-440.00,641.00,255.84
80,2012/6/10,14:02:11,660.00,17836.37,12.52,42.00,71032,210.71,0,1,0,0,0,0,-29,236,0.00,-0.11,0.92,-132.00,-416.00,647.00,252.40
82,2012/6/10,14:02:13,661.00,17912.74,12.43,42.00,70986,217.35,0,0,0,0,0,0,-28,233,0.00,-0.11,0.91,-137.00,-403.00,649.00,251.22
84,2012/6/10,14:02:15,661.00,17912.74,12.43,42.00,70928,223.05,0,0,0,0,0,-1,-27,234,-0.00,-0.11,0.91,-150.00,-381.00,656.00,248.51
86,2012/6/10,14:02:17,661.00,17912.74,12.43,42.00,70873,230.17,0,0,0,0,0,-1,-28,231,-0.00,-0.11,0.90,-142.00,-388.00,652.00,249.90
