secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
2,2012/6/9,17:45:42,531.00,10587.62,23.72,24.40,101183,24.53,0,0,0,0,0,22,34,242,0.09,0.13,0.94,212.00,-24.00,-286.00,353.54
3,2012/6/9,17:45:43,531.00,10587.62,23.72,24.40,101195,24.62,0,0,0,0,0,22,35,240,0.09,0.14,0.94,211.00,-24.00,-286.00,353.51
4,2012/6/9,17:45:44,530.00,10546.25,23.81,24.40,101189,24.62,0,0,0,0,0,22,35,241,0.09,0.14,0.94,210.00,-21.00,-285.00,354.29
5,2012/6/9,17:45:45,530.00,10546.25,23.81,24.40,101197,24.37,0,0,0,0,0,22,34,240,0.09,0.13,0.94,209.00,-22.00,-285.00,353.99
6,2012/6/9,17:45:46,531.00,10587.62,23.72,24.40,101195,23.95,0,0,0,0,0,21,34,240,0.08,0.13,0.94,209.00,-22.00,-284.00,353.99
7,2012/6/9,17:45:47,531.00,10587.62,23.72,24.40,101199,23.78,0,0,0,0,0,22,33,241,0.09,0.13,0.94,210.00,-23.00,-285.00,353.75
8,2012/6/9,17:45:48,531.00,10587.62,23.72,24.40,101193,24.87,0,1,0,0,0,23,35,241,0.09,0.14,0.94,212.00,-23.00,-285.00,353.81
9,2012/6/9,17:45:49,531.00,10587.62,23.72,24.40,101194,23.87,0,0,0,0,0,23,34,240,0.09,0.13,0.94,212.00,-24.00,-286.00,353.54
10,2012/6/9,17:45:50,532.00,10629.16,23.63,24.40,101193,24.28,0,0,0,0,0,22,34,240,0.09,0.13,0.94,210.00,-24.00,-285.00,353.48
11,2012/6/9,17:45:51,533.00,10670.88,23.55,24.40,101190,24.45,0,0,0,0,0,23,33,241,0.09,0.13,0.94,209.00,-22.00,-285.00,353.99
12,2012/6/9,17:45:52,533.00,10670.88,23.55,24.40,101193,23.95,0,0,0,0,0,23,57,239,0.09,0.22,0.93,210.00,-22.00,-285.00,354.02
13,2012/6/9,17:45:53,531.00,10587.62,23.72,24.40,101193,24.70,0,0,0,0,0,20,35,240,0.08,0.14,0.94,217.00,-29.00,-286.00,352.39
14,2012/6/9,17:45:54,534.00,10712.76,23.46,24.40,101193,24.78,0,0,0,0,0,24,34,241,0.09,0.13,0.94,218.00,-29.00,-286.00,352.42
15,2012/6/9,17:45:55,533.00,10670.88,23.55,24.40,101189,24.78,0,0,0,0,0,23,34,240,0.09,0.13,0.94,219.00,-31.00,-287.00,351.94
16,2012/6/9,17:45:56,533.00,10670.88,23.55,24.40,101198,23.53,0,0,0,0,0,23,33,240,0.09,0.13,0.94,219.00,-29.00,-287.00,352.46
17,2012/6/9,17:45:57,533.00,10670.88,23.55,24.40,101193,23.78,0,0,0,0,0,23,32,241,0.09,0.12,0.94,220.00,-32.00,-287.00,351.72
18,2012/6/9,17:45:58,532.00,10629.16,23.63,24.40,101187,24.78,0,1,0,0,0,23,33,241,0.09,0.13,0.94,218.00,-31.00,-286.00,351.91
19,2012/6/9,17:45:59,532.00,10629.16,23.63,24.40,101188,24.45,0,0,0,0,0,24,32,240,0.09,0.12,0.94,218.00,-31.00,-286.00,351.91
20,2012/6/9,17:46:00,534.00,10712.76,23.46,24.40,101186,24.37,0,0,0,0,0,24,33,240,0.09,0.13,0.94,218.00,-30.00,-286.00,352.16
21,2012/6/9,17:46:01,533.00,10670.88,23.55,24.40,101180,24.53,0,0,0,0,0,21,30,248,0.08,0.12,0.97,218.00,-29.00,-286.00,352.42
