secs,date,time,t_adc,t_resistance,ext_temp_c,int_temp_c,pascals,meters,freefall,inactivity,activity,doubletap,tap,x,y,z,xG,yG,zG,mx,my,mz,heading
3,2012/6/10,11:04:22,459.00,7983.67,30.16,31.50,100246,24.09,0,0,0,0,1,8,46,236,0.03,0.18,0.92,700.00,-970.00,1017.00,305.82
5,2012/6/10,11:04:24,459.00,7983.67,30.16,31.50,100252,24.01,0,0,0,0,0,10,43,237,0.04,0.17,0.92,699.00,-972.00,1017.00,305.72
7,2012/6/10,11:04:26,460.00,8015.28,30.06,31.40,100252,24.26,0,0,0,0,0,10,43,238,0.04,0.17,0.93,699.00,-971.00,1017.00,305.75
9,2012/6/10,11:04:28,460.00,8015.28,30.06,31.40,100249,24.43,0,0,0,0,0,8,45,240,0.03,0.18,0.94,699.00,-971.00,1018.00,305.75
11,2012/6/10,11:04:30,461.00,8046.99,29.97,31.40,100252,23.84,0,1,0,0,0,10,44,239,0.04,0.17,0.93,700.00,-973.00,1018.00,305.73
13,2012/6/10,11:04:32,462.00,8078.82,29.88,31.30,100243,24.51,0,0,0,0,0,9,44,238,0.04,0.17,0.93,699.00,-973.00,1018.00,305.69
15,2012/6/10,11:04:34,462.00,8078.82,29.88,31.30,100255,23.84,0,0,0,0,0,8,44,237,0.03,0.17,0.92,699.00,-972.00,1018.00,305.72
17,2012/6/10,11:04:36,463.00,8110.77,29.79,31.30,100250,24.09,0,0,0,0,0,9,42,238,0.04,0.16,0.93,699.00,-973.00,1018.00,305.69
19,2012/6/10,11:04:38,463.00,8110.77,29.79,31.20,100252,23.92,0,0,0,0,0,8,44,238,0.03,0.17,0.93,699.00,-973.00,1018.00,305.69
21,2012/6/10,11:04:40,463.00,8110.77,29.79,31.20,100248,24.17,0,1,0,0,0,9,42,239,0.04,0.16,0.93,700.00,-973.00,1018.00,305.73
23,2012/6/10,11:04:42,464.00,8142.83,29.70,31.10,100255,24.26,0,0,0,0,0,9,45,238,0.04,0.18,0.93,700.00,-974.00,1019.00,305.70
25,2012/6/10,11:04:44,464.00,8142.83,29.70,31.10,100252,24.43,0,0,0,0,0,9,45,237,0.04,0.18,0.92,699.00,-974.00,1019.00,305.67
27,2012/6/10,11:04:46,464.00,8142.83,29.70,31.00,100249,24.34,0,0,0,0,0,9,44,238,0.04,0.17,0.93,700.00,-973.00,1019.00,305.73
